"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"B-Injury","Pedalcyclist","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Urbana","2016","0","1","3950","POINT (-88.2024503686935 40.1163773807688)"
"B-Injury","Pedalcyclist","Clear","Darkness","Dry","No Controls","Unincorporated","2016","0","1","3952","POINT (-88.2378328805227 40.0067814226027)"
"A-Injury","Pedalcyclist","Clear","Daylight","Wet","No Controls","Champaign","2001","0","1","265","POINT (-88.238972056694 40.1384995146142)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2001","0","1","203","POINT (-88.2646037882196 40.1350689308504)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","1999","0","1","408","POINT (-88.2322720679222 40.1126969557868)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","0","1","3961","POINT (-88.2334290403349 40.1014595395309)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Other","Champaign","2016","0","1","3962","POINT (-88.2333988087431 40.1005400168767)"
"A-Injury","Pedalcyclist","Rain","Darkness, lighted road","Wet","Traffic signal","Champaign","2002","0","1","161","POINT (-88.2767915047882 40.1128753059218)"
"A-Injury","Pedalcyclist","Clear","Darkness","Dry","No Controls","St. Joseph","2004","0","2","514","POINT (-88.0362529924743 40.1131405550763)"
"PD","Pedalcyclist","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Champaign","2016","0","0","3963","POINT (-88.2289300019827 40.1163999978895)"
"C-Injury","Pedalcyclist","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Urbana","2016","0","1","3966","POINT (-88.203729996469 40.111729745972)"
"B-Injury","Pedalcyclist","Clear","Dusk","Dry","Traffic Signal","Urbana","2016","0","1","3968","POINT (-88.2075099963015 40.116409793046)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2016","0","1","3973","POINT (-88.2045875551512 40.1170911523189)"
"C-Injury","Pedalcyclist","Rain","Daylight","Wet","No Controls","Urbana","2016","0","1","3980","POINT (-88.2095914145807 40.0990999916665)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","3984","POINT (-88.2265040393546 40.1104496169048)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","3992","POINT (-88.2302989861688 40.1052694047835)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","3996","POINT (-88.2351614446879 40.1041100533405)"
"C-Injury","Pedalcyclist","Snow","Darkness, Lighted Road","Snow or Slush","Traffic Signal","Champaign","2016","0","1","3998","POINT (-88.2302901891497 40.1041699964005)"
"C-Injury","Pedalcyclist","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2016","0","1","4003","POINT (-88.2320800022827 40.1126775452395)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","0","1","4004","POINT (-88.2387331898101 40.116339896801)"
"B-Injury","Pedalcyclist","Rain","Daylight","Wet","Stop Sign/Flasher","Urbana","2016","0","1","4007","POINT (-88.2175800025128 40.1006599982785)"
"Fatal","Pedalcyclist","Cloudy/Overcast","Darkness","Wet","Lane Use Marking","Champaign","2016","1","0","4010","POINT (-88.2410654197096 40.1567492158148)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Unincorporated","2016","0","1","4011","POINT (-88.2289600019186 40.1103399975754)"
"B-Injury","Pedalcyclist","Rain","Daylight","Wet","No Controls","Urbana","2016","0","1","4018","POINT (-88.2204365028409 40.1164299991411)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic signal","Champaign","2002","0","1","129","POINT (-88.2860458398548 40.1129354097116)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4032","POINT (-88.2127468006345 40.1164903592039)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2016","0","1","4047","POINT (-88.4624274930438 39.9289342373796)"
"B-Injury","Pedalcyclist","Cloudy/Overcast","Daylight","Dry","No Controls","Rantoul","2016","0","1","4064","POINT (-88.1440200014305 40.3099899989714)"
