crash_severity,collision_type,weather,light,road_surface,traffic_control,city,year,fatality,injury,id,x,y,norm_x,norm_y
A-Injury,angle,snow,"darkness, lighted road",snow or slush,no controls,urbana,2003,0,8,9,-88.2016751604757,40.1348413502238,0.0029767636373217547,0.006311311645111648
A-Injury,pedestrian,clear,daylight,unknown,no controls,champaign,2003,0,2,10,-88.2578735563424,40.1192104624317,0.002337681616765096,0.005924400083154521
A-Injury,overturned,clear,darkness,dry,lane use marking,unincorporated,2003,0,1,11,-88.4039690081752,40.1204460102598,0.0006763000931198508,0.0059549836140709595
A-Injury,other non collision,clear,daylight,dry,no controls,champaign,2003,0,1,12,-88.2723852278288,40.1128087880156,0.0021726564733929865,0.005765939355880435
A-Injury,sideswipe - same dir,clear,daylight,wet,no controls,unincorporated,2003,0,2,13,-88.2197747465134,40.2064841767472,0.0027709371214965704,0.00808468743040798
A-Injury,rear end,clear,daylight,dry,traffic signal,unincorporated,2003,0,1,14,-88.2954350365736,40.1130326373836,0.0019105365655400428,0.005771480302099695
A-Injury,angle,clear,daylight,wet,traffic signal,champaign,2003,0,1,15,-88.2769577922859,40.1275703553285,0.0021206577697414557,0.006131332617090925
A-Injury,angle,clear,"darkness, lighted road",dry,traffic signal,champaign,2003,0,1,16,-88.2578465808394,40.1182575235972,0.0023379883792393604,0.005900811976208161
A-Injury,turning,clear,dusk,dry,traffic signal,urbana,2003,0,5,17,-88.1977061478239,40.1302365647255,0.0030218988157554765,0.006197329331802104
A-Injury,rear end,clear,darkness,wet,no controls,unincorporated,2001,0,1,214,-88.4222726230531,40.194549656606,0.00046815338360504363,0.007789272103367138
A-Injury,rear end,clear,daylight,dry,lane use marking,unincorporated,2001,0,3,215,-88.1821938466957,40.1898735300976,0.0031983030101386412,0.007673523885138055
A-Injury,angle,clear,daylight,unknown,stop sign / flasher,unincorporated,2001,0,2,216,-88.3149345750782,40.1605537267694,0.0016887899431452804,0.00694777042488204
A-Injury,sideswipe - same dir,clear,daylight,dry,lane use marking,urbana,2001,0,1,217,-88.1970946417846,40.1312934541563,0.0030288527956537636,0.006223490529165011
A-Injury,angle,fog / smoke / haze,daylight,dry,lane use marking,unincorporated,2001,0,5,218,-88.1822013661942,40.1892946028907,0.003198217499222764,0.007659193692710003
A-Injury,turning,clear,daylight,dry,traffic signal,urbana,2002,0,3,134,-88.1933412252524,40.1375733137528,0.0030715362385599,0.006378935972678639
A-Injury,rear end,snow,daylight,ice,no controls,unincorporated,2001,0,3,242,-88.0853910600832,40.1206874671925,0.004299133727986366,0.005960960400560532
A-Injury,fixed object,snow,daylight,ice,no controls,champaign,2001,0,1,243,-88.3049669289858,40.1122849616436,0.0018021409259745566,0.005752973075111293
A-Injury,parked motor vehicle,snow,daylight,snow or slush,no controls,st. joseph,2001,0,4,244,-88.0396386023818,40.1203363986573,0.004819425680493268,0.005952270396696826
A-Injury,fixed object,sleet / hail,darkness,ice,lane use marking,unincorporated,2001,0,2,245,-88.3034049570285,39.967600699426,0.0018199035004952333,0.002171601714136987
A-Injury,pedestrian,rain,darkness,wet,no controls,champaign,2005,0,2,742,-88.265285,40.127257,0.002253399488869895,0.0061235761287064825
A-Injury,pedestrian,rain,darkness,wet,no controls,urbana,2016,0,1,3951,-88.1929670773135,40.0947485023936,0.003075791008061613,0.005318892878908631
A-Injury,turning,rain,daylight,wet,traffic signal,champaign,2016,0,1,3953,-88.2435094712078,40.116360004424,0.0025010284242619374,0.005853842660267141
A-Injury,angle,rain,daylight,wet,traffic signal,champaign,2016,0,1,3954,-88.2468498673379,40.1163402044024,0.0024630418042639766,0.00585335255008353
A-Injury,turning,clear,daylight,dry,no controls,champaign,2016,0,1,3955,-88.271466742574,40.1127916046133,0.0021831013874058633,0.005765514014907371
A-Injury,angle,clear,daylight,dry,traffic signal,champaign,2016,0,2,3956,-88.2579100024449,40.1426299975616,0.0023372671556676386,0.006504104130547029
A-Injury,overturned,clear,darkness,dry,no controls,unincorporated,2001,0,1,246,-88.3036982292022,40.0560952818615,0.001816568441363278,0.0043621092253079375
A-Injury,rear end,clear,"darkness, lighted road",dry,traffic signal,champaign,2001,0,1,247,-88.2579431723527,40.1349977315601,0.0023368899510985727,0.006315182554294295
A-Injury,overturned,snow,dawn,ice,no controls,champaign,2001,0,3,248,-88.3022057853353,40.130034704209,0.001833540350032779,0.006192332675900377
A-Injury,overturned,snow,"darkness, lighted road",ice,lane use marking,urbana,2001,0,4,249,-88.2008168239823,40.1347411290622,0.0029865245461887266,0.006308830869438982
A-Injury,fixed object,rain,darkness,wet,no controls,unincorporated,2001,0,1,250,-88.2386036926573,40.1847687599949,0.002556816402194436,0.007547165446632404
A-Injury,fixed object,rain,daylight,wet,no controls,unincorporated,2001,0,1,251,-88.3034049570285,39.967600699426,0.0018199035004952333,0.002171601714136987
A-Injury,overturned,clear,darkness,dry,no controls,unincorporated,2001,0,2,252,-88.2321058609005,40.1943045787792,0.0026307090353262595,0.007783205688840444
A-Injury,fixed object,clear,daylight,dry,lane use marking,unincorporated,2001,0,1,254,-88.1835857714899,40.2769346753097,0.003182474193386402,0.009828549506703522
A-Injury,overturned,snow,darkness,ice,lane use marking,mahomet,2001,0,5,255,-88.3940969195665,40.1967191123931,0.0007885644066801255,0.00784297266972953
A-Injury,fixed object,clear,darkness,dry,lane use marking,champaign,2001,0,1,258,-88.295351096559,40.1360713386978,0.0019114911222191588,0.006341757565266343
A-Injury,fixed object,clear,darkness,dry,lane use marking,champaign,2001,0,1,263,-88.2900876827635,40.119508035048,0.0019713460891017543,0.005931765901865435
A-Injury,rear end,clear,"darkness, lighted road",dry,traffic signal,urbana,2001,0,5,264,-88.2195613721625,40.1341663829274,0.0027733635913130134,0.0062946041711411695
A-Injury,pedalcyclist,clear,daylight,wet,no controls,champaign,2001,0,1,265,-88.238972056694,40.1384995146142,0.0025526274065970204,0.006401862234240795
A-Injury,fixed object,clear,daylight,dry,no controls,unincorporated,2001,0,1,266,-88.165164809246,40.3413326961418,0.0033919553643322504,0.011422594525674873
A-Injury,angle,clear,daylight,dry,stop sign / flasher,champaign,2003,0,1,99,-88.251765150853,40.1126397725265,0.0024071457369119476,0.005761755713354675
