"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"Fatal","Pedestrian","Cloudy/Overcast","Darkness, Lighted Road","Dry","Traffic Signal","Urbana","2016","1","0","3983","POINT (-88.2073256276964 40.1163970594705)"
"Fatal","Turning","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","1","1","4005","POINT (-88.2388200020428 40.1272299976793)"
"Fatal","Pedalcyclist","Cloudy/Overcast","Darkness","Wet","Lane Use Marking","Champaign","2016","1","0","4010","POINT (-88.2410654197096 40.1567492158148)"
"Fatal","Rear End","Clear","Daylight","Dry","Lane Use Marking","Urbana","2016","1","1","4037","POINT (-88.1631866185844 40.1202474189004)"
"Fatal","Fixed Object","Cloudy/Overcast","Darkness","Dry","Lane Use Marking","Unincorporated","2016","1","0","4043","POINT (-87.985074909203 40.0760051902479)"
"Fatal","Fixed Object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2016","1","0","4044","POINT (-87.9575887948365 39.9705920241908)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","St Joseph","2016","1","0","4055","POINT (-88.0404600025063 40.1131599979591)"
"Fatal","Overturned","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2016","1","1","4059","POINT (-87.9752691592768 40.1197406652534)"
"Fatal","Rear End","Clear","Darkness","Dry","Lane Use Marking","St Joseph","2016","1","1","4061","POINT (-88.0189810260455 40.1200899573769)"
"Fatal","Fixed Object","Clear","Darkness","Dry","No Controls","Unincorporated","2016","1","2","4062","POINT (-88.1777992751756 39.981771477543)"
"Fatal","Overturned","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Mahomet","2016","1","0","4072","POINT (-88.3942594946906 40.2068943969808)"
"Fatal","Pedestrian","Rain","Daylight","Wet","Lane Use Marking","Mahomet","2016","1","0","4077","POINT (-88.3959800014458 40.1905199979813)"
"Fatal","Fixed Object","Clear","Darkness","Dry","Other","Unincorporated","2016","1","0","4094","POINT (-87.9553245852797 40.2253381312605)"
"Fatal","Overturned","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2016","1","0","4115","POINT (-88.3090463713513 40.1675592728565)"
"Fatal","Angle","Clear","Dawn","Dry","No Controls","Unincorporated","2016","1","1","4124","POINT (-88.4066900021481 40.0111199978943)"
"Fatal","Angle","Clear","Daylight","Dry","No Controls","Unincorporated","2016","1","2","4131","POINT (-88.3319302592149 40.0110899980318)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2016","1","3","4132","POINT (-88.3696707983077 40.1276199973367)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Champaign","2016","1","0","4145","POINT (-88.2603228562209 40.1272000389334)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","1","0","4173","POINT (-88.2468305465304 40.1144199944908)"
"Fatal","Rear End","Fog/Smoke/Haze","Darkness","Wet","Lane Use Marking","Unincorporated","2016","1","1","4186","POINT (-88.2670699786282 40.1606555140601)"
"Fatal","Head On","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2016","2","0","4190","POINT (-88.2659514124905 39.9627011816725)"
"Fatal","Angle","Clear","Dusk","Dry","Stop Sign/Flasher","Champaign","2016","1","1","4197","POINT (-88.2501607910205 40.1271899973131)"
"Fatal","Pedalcyclist","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2012","1","0","2721","POINT (-88.2828291545506 40.1128159897989)"
"Fatal","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2011","1","1","2740","POINT (-88.3698391356001 40.1477644951671)"
"Fatal","Pedalcyclist","Clear","Darkness","Dry","Stop Sign/Flasher","Champaign","2011","1","0","2769","POINT (-88.2389207435103 40.1352585336411)"
"Fatal","Pedalcyclist","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2006","1","0","2919","POINT (-88.1620729026061 40.0798615792923)"
"Fatal","Pedalcyclist","Clear","Darkness","Dry","Lane Use Marking","Urbana","2009","1","0","3110","POINT (-88.2210743189357 40.1105456634408)"
"Fatal","Head On","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Urbana","2017","1","1","4218","POINT (-88.2230085268287 40.1350883375178)"
"Fatal","Rear End","Cloudy/Overcast","Dusk","Ice","Lane Use Marking","Rantoul","2017","1","1","4219","POINT (-88.1841448979837 40.3083258497697)"
"Fatal","Other Object","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Urbana","2017","1","0","4220","POINT (-88.2090200022449 40.1165099978658)"
"Fatal","Overturned","Clear","Daylight","Dry","No Controls","Unincorporated","2017","1","1","4263","POINT (-88.2378125985048 40.3407579259902)"
"Fatal","Fixed Object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2017","1","1","4269","POINT (-87.9390345188581 39.9086632401872)"
"Fatal","Rear End","Clear","Daylight","Dry","Lane Use Marking","Champaign","2017","1","2","4281","POINT (-88.2849035942587 40.1454131984637)"
"Fatal","Fixed Object","Clear","Darkness","Dry","Lane Use Marking","Broadlands","2017","1","0","4356","POINT (-88.0027593240457 39.9082499988168)"
"Fatal","Fixed Object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2017","1","0","4365","POINT (-88.2257789513649 40.0105625857487)"
"Fatal","Head On","Snow","Dusk","Ice","Lane Use Marking","Unincorporated","2017","1","3","4375","POINT (-88.3036878212881 39.9756712548118)"
"Fatal","Fixed Object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2017","1","1","4393","POINT (-88.3330237845423 40.1204000067144)"
"Fatal","Fixed Object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2017","2","1","4396","POINT (-88.1610776842222 39.9416493895405)"
"Fatal","Pedalcyclist","Clear","Daylight","Dry","Lane Use Marking","Champaign","2017","1","0","4414","POINT (-88.2770247632839 40.1318329663588)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Champaign","2017","1","0","4431","POINT (-88.2603936658455 40.127201050911)"
"Fatal","Pedalcyclist","Clear","Darkness","Dry","No Controls","Unincorporated","2005","1","1","2858","POINT (-88.1826239323491 40.2220267412715)"
"Fatal","Fixed object","Clear","Dusk","Dry","Other warning sign","Unincorporated","2003","1","0","3209","POINT (-87.9567541231314 39.9085415813712)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Traffic signal","Champaign","2003","1","0","3210","POINT (-88.2446384669096 40.0980915312516)"
"Fatal","Angle","Snow","Darkness","Snow or slush","No Controls","Unincorporated","2003","1","2","3211","POINT (-87.958508078575 40.0798187773275)"
"Fatal","Angle","Severe cross wind","Daylight","Snow or slush","Lane Use Marking","Unincorporated","2003","1","1","3212","POINT (-88.1611787393342 39.9515071205069)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2003","1","1","3213","POINT (-88.1843627639032 40.1528232072532)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","St. Joseph","2003","1","3","3214","POINT (-88.0246888909703 40.1202181038844)"
"Fatal","Overturned","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2003","1","2","3215","POINT (-88.2979909676911 39.9193674528747)"
"Fatal","Head on","Clear","Dawn","Dry","Lane Use Marking","Unincorporated","2003","1","1","3216","POINT (-88.0281470761307 40.3127851493218)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2003","1","0","3217","POINT (-88.2885369174994 40.1129521835239)"
"Fatal","Rear end","Clear","Darkness","Dry","Lane Use Marking","Mahomet","2003","1","0","3218","POINT (-88.367547450232 40.1880463690074)"
"Fatal","Head on","Clear","Daylight","Dry","Other warning sign","Unincorporated","2003","1","1","3219","POINT (-88.0104332293484 40.1115288772904)"
"Fatal","Fixed object","Unknown","Darkness","Unknown","No Controls","Unincorporated","2003","1","0","3220","POINT (-87.9582800607411 40.0605654749689)"
"Fatal","Angle","Clear","Daylight","Dry","Stop sign / flasher","Unincorporated","2003","2","2","3221","POINT (-88.288965715176 40.3112248396648)"
"Fatal","Fixed object","Clear","Darkness, lighted road","Dry","Lane Use Marking","Champaign","2002","1","0","3222","POINT (-88.260127676361 40.1352609984782)"
"Fatal","Angle","Clear","Daylight","Dry","Stop sign / flasher","Urbana","2002","1","3","3223","POINT (-88.1621494561884 40.0839948488388)"
"Fatal","Rear end","Rain","Daylight","Wet","No Controls","Champaign","2002","1","2","3224","POINT (-88.2718667765039 40.1379165020626)"
"Fatal","Angle","Clear","Daylight","Dry","Stop sign / flasher","Unincorporated","2002","1","1","3225","POINT (-88.3332847957248 40.1133087720451)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Unincorporated","2002","1","2","3226","POINT (-88.3036425777428 39.9893330498423)"
"Fatal","Angle","Clear","Daylight","Snow or slush","Lane Use Marking","Unincorporated","2002","1","0","3227","POINT (-88.1355034700915 40.3655665983302)"
"Fatal","Angle","Other","Daylight","Snow or slush","Lane Use Marking","Unincorporated","2002","1","2","3228","POINT (-88.1614362073395 40.014622747992)"
"Fatal","Angle","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2002","1","1","3229","POINT (-88.3332847957248 40.1133087720451)"
"Fatal","Angle","Fog / smoke / haze","Darkness","Dry","Stop sign / flasher","Unincorporated","2002","1","4","3230","POINT (-87.9483173778569 40.3132710971307)"
"Fatal","Turning","Clear","Daylight","Dry","Traffic signal","Champaign","2002","1","0","3231","POINT (-88.2860458398548 40.1129354097116)"
"Fatal","Angle","Clear","Darkness","Dry","Stop sign / flasher","Unincorporated","2002","1","2","3232","POINT (-88.048052519096 40.1862384115146)"
"Fatal","Pedestrian","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2001","1","0","3233","POINT (-88.1009506161777 40.3123608627256)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2001","1","1","3234","POINT (-88.2928479781373 39.8800977687605)"
"Fatal","Turning","Rain","Darkness, lighted road","Wet","Traffic signal","Rantoul","2001","1","0","3235","POINT (-88.1997377235443 40.311508996801)"
"Fatal","Overturned","Snow","Darkness","Wet","No Controls","Unincorporated","2001","1","0","3236","POINT (-88.1819670176422 40.170976829818)"
"Fatal","Fixed object","Clear","Darkness, lighted road","Dry","Traffic signal","Champaign","2001","1","1","3237","POINT (-88.246877418792 40.0835447688794)"
"Fatal","Angle","Clear","Daylight","Dry","Stop sign / flasher","Unincorporated","2001","4","3","3238","POINT (-87.9483173778569 40.3132710971307)"
"Fatal","Head on","Clear","Daylight","Dry","No Controls","Unincorporated","2001","1","1","3239","POINT (-88.2681235016118 39.948728984967)"
"Fatal","Head on","Rain","Darkness","Snow or slush","No passing","Unincorporated","2001","1","5","3240","POINT (-88.3850424515154 40.2802339538957)"
"Fatal","Overturned","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2001","1","0","3241","POINT (-88.3863245109616 40.2792056421754)"
"Fatal","Angle","Clear","Darkness","Dry","Stop sign / flasher","Champaign","2001","1","0","3242","POINT (-88.3145129624667 40.1132597945671)"
"Fatal","Head on","Snow","Dawn","Snow or slush","Lane Use Marking","Unincorporated","2001","1","1","3243","POINT (-88.1023501980961 40.1206925402557)"
"Fatal","Rear end","Clear","Daylight","Dry","Lane Use Marking","Champaign","2001","1","0","3244","POINT (-88.2997233510387 40.1322360383039)"
"Fatal","Rear end","Clear","Daylight","Dry","Lane Use Marking","St. Joseph","2001","1","1","3245","POINT (-88.0506851617886 40.1204221131337)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Unincorporated","2001","1","1","3246","POINT (-88.1837997445982 40.2934978497844)"
"Fatal","Rear end","Clear","Daylight","Dry","No Controls","St. Joseph","2001","1","7","3247","POINT (-88.046964116245 40.1203929711553)"
"Fatal","Fixed object","Clear","Darkness, lighted road","Dry","Lane Use Marking","Champaign","2001","1","0","3248","POINT (-88.2772631125603 40.140903354082)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2001","2","1","3249","POINT (-88.2130396707403 40.2131511370123)"
"Fatal","Rear end","Clear","Darkness, lighted road","Dry","Lane Use Marking","Champaign","2000","1","3","3250","POINT (-88.2406955356535 40.1348235096931)"
"Fatal","Fixed object","Snow","Daylight","Ice","No Controls","Unincorporated","2000","1","0","3251","POINT (-88.2358207968833 40.1906269611078)"
"Fatal","Head on","Clear","Daylight","Dry","No Controls","Unincorporated","2000","1","1","3252","POINT (-88.3939561925929 40.2452170864314)"
"Fatal","Angle","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2000","1","7","3253","POINT (-88.303488221999 40.0353141056609)"
"Fatal","Angle","Clear","Daylight","Dry","Stop sign / flasher","Unincorporated","2000","1","2","3254","POINT (-88.4265190137861 40.1106163446657)"
"Fatal","Overturned","Rain","Darkness","Wet","No Controls","Unincorporated","2000","1","0","3255","POINT (-88.303322441748 39.9574585225382)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2000","1","0","3256","POINT (-87.9945990452404 40.1199639648495)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Unincorporated","2000","2","2","3257","POINT (-88.3035002968761 39.9748446594084)"
"Fatal","Turning","Clear","Daylight","Dry","Traffic signal","Champaign","2000","1","0","3258","POINT (-88.2434791400742 40.1101911947013)"
"Fatal","Fixed object","Clear","Daylight","Snow or slush","No Controls","St. Joseph","1999","1","1","3259","POINT (-88.0613458618196 40.113374695899)"
"Fatal","Overturned","Clear","Daylight","Dry","No Controls","Champaign","1999","2","3","3260","POINT (-88.285293564362 40.1448668264268)"
"Fatal","Angle","Clear","Darkness","Ice","Lane Use Marking","Champaign","1999","1","0","3261","POINT (-88.2708052904112 40.1575636451472)"
"Fatal","Angle","Unknown","Darkness","Dry","Stop sign / flasher","Unincorporated","1999","1","5","3262","POINT (-88.288965715176 40.3112248396648)"
"Fatal","Overturned","Clear","Darkness, lighted road","Dry","No Controls","Champaign","1999","1","0","3264","POINT (-88.2768090878502 40.1392671663138)"
"Fatal","Turning","Clear","Daylight","Dry","Stop sign / flasher","Unincorporated","1999","1","3","3265","POINT (-88.3065265325992 40.0254024320214)"
"Fatal","Angle","Rain","Darkness","Wet","No Controls","Unincorporated","1999","1","0","3266","POINT (-88.108548795214 40.1206447353918)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Urbana","1999","1","0","3267","POINT (-88.1797970228809 40.1246376280628)"
"Fatal","Overturned","Rain","Daylight","Wet","Lane Use Marking","Unincorporated","2004","1","0","3268","POINT (-88.1000131060092 40.3123708473885)"
"Fatal","Angle","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2004","1","1","3269","POINT (-88.3149345750782 40.1605537267694)"
"Fatal","Head on","Clear","Darkness","Dry","Lane Use Marking","Champaign","2004","1","1","3270","POINT (-88.2848851560778 40.1172021002355)"
"Fatal","Head on","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2004","1","5","3271","POINT (-88.3031137085639 39.9386227979012)"
"Fatal","Fixed object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2004","1","0","3272","POINT (-88.2049754379672 40.2214093324064)"
"Fatal","Fixed object","Clear","Darkness","Dry","Unknown","Unincorporated","2004","1","0","3273","POINT (-88.0723077621375 40.1205834425797)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","St. Joseph","2004","2","1","3274","POINT (-88.0168214512372 40.1201574889548)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2004","1","0","3275","POINT (-87.9989302817855 40.1200125566093)"
"Fatal","Fixed object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2005","3","4","3276","POINT (-88.3033901037129 39.9644605361929)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2005","1","1","3277","POINT (-88.1049317143974 40.186112330209)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2005","1","0","3278","POINT (-88.3740058144752 40.1901575556219)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2005","1","0","3279","POINT (-88.1117172005801 40.3122355782706)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Lane Use Marking","Champaign","2005","1","0","3280","POINT (-88.2469286585144 40.1347510603195)"
"Fatal","Turning","Clear","Daylight","Dry","Traffic Signal","Urbana","2005","1","3","3281","POINT (-88.2193906464908 40.1201060447035)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2005","2","0","3282","POINT (-88.3036927269259 39.9949296145751)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2005","1","1","3283","POINT (-88.1605867862211 39.90906420339)"
"Fatal","Head on","Clear","Daylight","Dry","No Controls","Unincorporated","2005","1","1","3284","POINT (-88.4486810680535 40.2004298926502)"
"Fatal","Turning","Clear","Daylight","Dry","No Controls","Rantoul","2005","1","0","3285","POINT (-88.1466543327464 40.3083757380804)"
"Fatal","Angle","Rain","Daylight","Wet","Stop Sign/Flasher","Unincorporated","2005","1","1","3286","POINT (-88.4264722509124 40.098611864833)"
"Fatal","Pedalcyclist","Clear","Darkness","Dry","No Controls","Unincorporated","2005","1","1","3287","POINT (-88.1826239323491 40.2220267412715)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2005","1","0","3288","POINT (-88.2303310649335 40.106869885038)"
"Fatal","Angle","Clear","Dusk","Dry","Stop Sign/Flasher","Champaign","2005","1","0","3289","POINT (-88.2625181932978 40.1127038052891)"
"Fatal","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2005","1","0","3290","POINT (-88.2734324870798 40.1050861082534)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Mahomet","2006","1","0","3291","POINT (-88.4103563600608 40.2002228372178)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Unincorporated","2006","1","0","3292","POINT (-88.4330801339645 40.3579131700999)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2006","1","1","3293","POINT (-88.2395977903905 40.1709884844247)"
"Fatal","Fixed object","Clear","Daylight","Other","No Controls","Unincorporated","2006","1","0","3294","POINT (-88.1247561640692 40.1344968877369)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2006","1","1","3295","POINT (-88.3201953376226 39.9672879198335)"
