crash_severity,collision_type,weather,light,road_surface,traffic_control,city,year,fatality,injury,id,Geometry,point,x,y,norm_x,norm_y
A-Injury,angle,Snow,"Darkness, lighted road",Snow or slush,No Controls,urbana,2003,0,8,9,POINT (-88.2016751604757 40.1348413502238),POINT,-88.2016751604757,40.1348413502238,-0.0029767636373217547,-0.006626944308943421
A-Injury,pedestrian,Clear,Daylight,Unknown,No Controls,champaign,2003,0,2,10,POINT (-88.2578735563424 40.1192104624317),POINT,-88.2578735563424,40.1192104624317,-0.002337681616765096,-0.007018893626566734
A-Injury,overturned,Clear,Darkness,Dry,Lane Use Marking,unincorporated,2003,0,1,11,POINT (-88.4039690081752 40.1204460102598),POINT,-88.4039690081752,40.1204460102598,-0.0006763000931198508,-0.006987911884866966
A-Injury,other non collision,Clear,Daylight,Dry,No Controls,champaign,2003,0,1,12,POINT (-88.2723852278288 40.1128087880156),POINT,-88.2723852278288,40.1128087880156,-0.0021726564733929865,-0.007179417580958291
A-Injury,sideswipe - same dir,Clear,Daylight,Wet,No Controls,unincorporated,2003,0,2,13,POINT (-88.2197747465134 40.2064841767472),POINT,-88.2197747465134,40.2064841767472,-0.0027709371214965704,-0.004830478404898859
A-Injury,rear end,Clear,Daylight,Dry,Traffic signal,unincorporated,2003,0,1,14,POINT (-88.2954350365736 40.1130326373836),POINT,-88.2954350365736,40.1130326373836,-0.0019105365655400428,-0.0071738044892258
A-Injury,angle,Clear,Daylight,Wet,Traffic signal,champaign,2003,0,1,15,POINT (-88.2769577922859 40.1275703553285),POINT,-88.2769577922859,40.1275703553285,-0.0021206577697414557,-0.006809266741652336
A-Injury,angle,Clear,"Darkness, lighted road",Dry,Traffic signal,champaign,2003,0,1,16,POINT (-88.2578465808394 40.1182575235972),POINT,-88.2578465808394,40.1182575235972,-0.0023379883792393604,-0.007042788860854605
A-Injury,turning,Clear,Dusk,Dry,Traffic signal,urbana,2003,0,5,17,POINT (-88.1977061478239 40.1302365647255),POINT,-88.1977061478239,40.1302365647255,-0.0030218988157554765,-0.0067424107212078165
A-Injury,rear end,Clear,Darkness,Wet,No Controls,unincorporated,2001,0,1,214,POINT (-88.4222726230531 40.194549656606),POINT,-88.4222726230531,40.194549656606,-0.00046815338360504363,-0.005129740167104756
A-Injury,rear end,Clear,Daylight,Dry,Lane Use Marking,unincorporated,2001,0,3,215,POINT (-88.1821938466957 40.1898735300976),POINT,-88.1821938466957,40.18987353009761,-0.0031983030101386412,-0.0052469954771333606
A-Injury,angle,Clear,Daylight,Unknown,Stop sign / flasher,unincorporated,2001,0,2,216,POINT (-88.3149345750782 40.1605537267694),POINT,-88.3149345750782,40.1605537267694,-0.0016887899431452804,-0.005982198560937024
A-Injury,sideswipe - same dir,Clear,Daylight,Dry,Lane Use Marking,urbana,2001,0,1,217,POINT (-88.1970946417846 40.1312934541563),POINT,-88.1970946417846,40.1312934541563,-0.0030288527956537636,-0.006715908893754707
A-Injury,angle,Fog / smoke / haze,Daylight,Dry,Lane Use Marking,unincorporated,2001,0,5,218,POINT (-88.1822013661942 40.1892946028907),POINT,-88.1822013661942,40.189294602890705,-0.003198217499222764,-0.005261512254856865
A-Injury,turning,Clear,Daylight,Dry,Traffic signal,urbana,2002,0,3,134,POINT (-88.1933412252524 40.1375733137528),POINT,-88.1933412252524,40.137573313752796,-0.0030715362385599,-0.006558439483420824
A-Injury,rear end,Snow,Daylight,Ice,No Controls,unincorporated,2001,0,3,242,POINT (-88.0853910600832 40.1206874671925),POINT,-88.0853910600832,40.120687467192504,-0.004299133727986366,-0.0069818572780354
A-Injury,fixed object,Snow,Daylight,Ice,No Controls,champaign,2001,0,1,243,POINT (-88.3049669289858 40.1122849616436),POINT,-88.3049669289858,40.1122849616436,-0.0018021409259745566,-0.007192552688303934
A-Injury,parked motor vehicle,Snow,Daylight,Snow or slush,No Controls,st. joseph,2001,0,4,244,POINT (-88.0396386023818 40.1203363986573),POINT,-88.0396386023818,40.1203363986573,-0.004819425680493268,-0.006990660429503305
A-Injury,fixed object,Sleet / hail,Darkness,Ice,Lane Use Marking,unincorporated,2001,0,2,245,POINT (-88.3034049570285 39.967600699426),POINT,-88.3034049570285,39.967600699426,-0.0018199035004952333,-0.010820555051399762
A-Injury,pedestrian,Rain,Darkness,Wet,No Controls,champaign,2005,0,2,742,POINT (-88.265285 40.127257),POINT,-88.265285,40.127257,-0.002253399488869895,-0.006817124222866021
A-Injury,pedestrian,Rain,Darkness,Wet,No Controls,urbana,2016,0,1,3951,POINT (-88.1929670773135 40.0947485023936),POINT,-88.1929670773135,40.09474850239361,-0.003075791008061613,-0.007632284796165345
A-Injury,turning,Rain,Daylight,Wet,Traffic Signal,champaign,2016,0,1,3953,POINT (-88.2435094712078 40.116360004424),POINT,-88.2435094712078,40.116360004424,-0.0025010284242619374,-0.007090369737577943
