"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"A-Injury","Pedestrian","Clear","Daylight","Unknown","No Controls","Champaign","2003","0","2","10","POINT (-88.2578735563424 40.1192104624317)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","No Controls","Champaign","2005","0","2","742","POINT (-88.265285 40.127257)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","No Controls","Urbana","2016","0","1","3951","POINT (-88.1929670773135 40.0947485023936)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","0","1","3957","POINT (-88.2517400030258 40.1182694788182)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Lane Use Marking","Champaign","2002","0","1","131","POINT (-88.2863484309568 40.1439396604084)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","1999","0","1","402","POINT (-88.2710587183945 40.1376036691567)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","Lane Use Marking","Urbana","2016","0","1","3964","POINT (-88.1988430728403 40.1163299987301)"
"B-Injury","Pedestrian","Rain","Darkness, Lighted Road","Wet","Traffic Signal","Champaign","2016","0","1","3965","POINT (-88.2334300015661 40.1014899975063)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","3967","POINT (-88.2063100017161 40.1124799975404)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Urbana","2016","0","1","3969","POINT (-88.2256100017552 40.112769997435)"
"A-Injury","Pedestrian","Rain","Darkness, Lighted Road","Wet","Lane Use Marking","Urbana","2016","0","1","3971","POINT (-88.219197578227 40.1037001942299)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","3972","POINT (-88.2321204217301 40.1241750572226)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","3974","POINT (-88.2152292959344 40.1164556028788)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","3975","POINT (-88.2070219982469 40.1124670539565)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","3981","POINT (-88.2335499839697 40.1134899973561)"
"Fatal","Pedestrian","Cloudy/Overcast","Darkness, Lighted Road","Dry","Traffic Signal","Urbana","2016","1","0","3983","POINT (-88.2073256276964 40.1163970594705)"
"B-Injury","Pedestrian","Snow","Darkness, Lighted Road","Snow or Slush","No Controls","Champaign","2016","0","1","3986","POINT (-88.234462684982 40.107965176146)"
