crash_severity,collision_type,weather,light,road_surface,traffic_control,city,year,fatality,injury,id,Geometry,point,x,y
A-Injury,Angle,Snow,"Darkness, lighted road",Snow or slush,No Controls,Urbana,2003,0,8,9,POINT (-88.2016751604757 40.1348413502238),POINT,-88.2016751604757,40.1348413502238
A-Injury,Pedestrian,Clear,Daylight,Unknown,No Controls,Champaign,2003,0,2,10,POINT (-88.2578735563424 40.1192104624317),POINT,-88.2578735563424,40.1192104624317
A-Injury,Overturned,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2003,0,1,11,POINT (-88.4039690081752 40.1204460102598),POINT,-88.4039690081752,40.1204460102598
A-Injury,Other non collision,Clear,Daylight,Dry,No Controls,Champaign,2003,0,1,12,POINT (-88.2723852278288 40.1128087880156),POINT,-88.2723852278288,40.1128087880156
A-Injury,Sideswipe - same dir,Clear,Daylight,Wet,No Controls,Unincorporated,2003,0,2,13,POINT (-88.2197747465134 40.2064841767472),POINT,-88.2197747465134,40.2064841767472
A-Injury,Rear end,Clear,Daylight,Dry,Traffic signal,Unincorporated,2003,0,1,14,POINT (-88.2954350365736 40.1130326373836),POINT,-88.2954350365736,40.1130326373836
A-Injury,Angle,Clear,Daylight,Wet,Traffic signal,Champaign,2003,0,1,15,POINT (-88.2769577922859 40.1275703553285),POINT,-88.2769577922859,40.1275703553285
A-Injury,Angle,Clear,"Darkness, lighted road",Dry,Traffic signal,Champaign,2003,0,1,16,POINT (-88.2578465808394 40.1182575235972),POINT,-88.2578465808394,40.1182575235972
A-Injury,Turning,Clear,Dusk,Dry,Traffic signal,Urbana,2003,0,5,17,POINT (-88.1977061478239 40.1302365647255),POINT,-88.1977061478239,40.1302365647255
A-Injury,Rear end,Clear,Darkness,Wet,No Controls,Unincorporated,2001,0,1,214,POINT (-88.4222726230531 40.194549656606),POINT,-88.4222726230531,40.194549656606
A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2001,0,3,215,POINT (-88.1821938466957 40.1898735300976),POINT,-88.1821938466957,40.1898735300976
A-Injury,Angle,Clear,Daylight,Unknown,Stop sign / flasher,Unincorporated,2001,0,2,216,POINT (-88.3149345750782 40.1605537267694),POINT,-88.3149345750782,40.1605537267694
A-Injury,Sideswipe - same dir,Clear,Daylight,Dry,Lane Use Marking,Urbana,2001,0,1,217,POINT (-88.1970946417846 40.1312934541563),POINT,-88.1970946417846,40.1312934541563
A-Injury,Angle,Fog / smoke / haze,Daylight,Dry,Lane Use Marking,Unincorporated,2001,0,5,218,POINT (-88.1822013661942 40.1892946028907),POINT,-88.1822013661942,40.1892946028907
A-Injury,Turning,Clear,Daylight,Dry,Traffic signal,Urbana,2002,0,3,134,POINT (-88.1933412252524 40.1375733137528),POINT,-88.1933412252524,40.1375733137528
A-Injury,Rear end,Snow,Daylight,Ice,No Controls,Unincorporated,2001,0,3,242,POINT (-88.0853910600832 40.1206874671925),POINT,-88.0853910600832,40.1206874671925
A-Injury,Fixed object,Snow,Daylight,Ice,No Controls,Champaign,2001,0,1,243,POINT (-88.3049669289858 40.1122849616436),POINT,-88.3049669289858,40.1122849616436
A-Injury,Parked Motor Vehicle,Snow,Daylight,Snow or slush,No Controls,St. Joseph,2001,0,4,244,POINT (-88.0396386023818 40.1203363986573),POINT,-88.0396386023818,40.1203363986573
